case,target_soc,actual_soc,variant,charge_scale,mode,species,n_molecules,frames,fit_start_ps,fit_end_ps,D_1e-9_m2_s,D_sem_1e-9_m2_s,n_blocks,note,source_file
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,I2Br-,2,4001,2510.0,8490.0,0.4064028772610614,0.1275378920311497,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,H2O,1112,4001,2510.0,8490.0,1.2914060569264805,0.0194331249257747,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,Zn2+,24,251,0.6400000017867785,2.1000000026638377,0.4808070187986029,0.0197039264820802,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,I-,44,251,0.6400000017867785,2.1000000026638377,0.8706838420938389,0.0903938959358639,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,Br-,93,251,0.6400000017867785,2.1000000026638377,1.0152473707597132,0.0814225410504263,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,NH4+,95,251,0.6400000017867785,2.1000000026638377,1.2485752030381272,0.0933877535013727,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,I2,1,251,0.6400000017867785,2.1000000026638377,1.6624107954124363,0.7617748531594581,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,I3-,4,251,0.6400000017867785,2.1000000026638377,0.7077851844739901,0.1699403489437453,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,I2Br-,2,251,0.6400000017867785,2.1000000026638377,1.0736809325330277,0.2357261306012533,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,smoke,H2O,1112,251,0.6400000017867785,2.1000000026638377,1.7792271681749094,0.0568746404967307,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,Zn2+,24,4001,2510.0,8490.0,0.6012812063490864,0.0683971539423958,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,I-,40,4001,2510.0,8490.0,1.3984272776432107,0.0358412867895755,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,Br-,92,4001,2510.0,8490.0,1.1337562022253107,0.0137153803897244,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,NH4+,95,4001,2510.0,8490.0,1.4220730210304957,0.0123831591921897,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,I2,1,4001,2510.0,8490.0,1.6249367410374895,0.2342536463090073,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,I3-,8,4001,2510.0,8490.0,0.8340928190086856,0.0686642651695233,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
