R_theta_end,theta_end,effective_coefficient_V,effective_coefficient_mV_per_decade,fixed_selected_voltage_contribution_mV
0.3656,0.6344,0.0703751159582,162.044692923,70.8125282268
0.367065,0.632935,0.0706559310215,162.691293502,70.8125282268
0.36853,0.63147,0.0709378641153,163.340468441,70.8125282268
0.369995,0.630005,0.0712209241798,163.992238326,70.8125282268
0.37146,0.62854,0.0715051202269,164.646623907,70.8125282268
0.372925,0.627075,0.0717904613413,165.303646104,70.8125282268
0.37439,0.62561,0.0720769566812,165.963326003,70.8125282268
0.375855,0.624145,0.0723646154797,166.625684864,70.8125282268
0.37732,0.62268,0.0726534470455,167.290744122,70.8125282268
0.378785,0.621215,0.0729434607642,167.958525387,70.8125282268
0.38025,0.61975,0.0732346660993,168.629050451,70.8125282268
0.381715,0.618285,0.0735270725931,169.302341284,70.8125282268
0.38318,0.61682,0.0738206898681,169.978420045,70.8125282268
0.384645,0.615355,0.074115527628,170.657309076,70.8125282268
0.38611,0.61389,0.0744115956583,171.339030909,70.8125282268
0.387575,0.612425,0.0747089038284,172.023608269,70.8125282268
0.38904,0.61096,0.0750074620919,172.711064076,70.8125282268
0.390505,0.609495,0.0753072804881,173.401421446,70.8125282268
0.39197,0.60803,0.0756083691432,174.094703695,70.8125282268
0.393435,0.606565,0.0759107382714,174.790934342,70.8125282268
0.3949,0.6051,0.076214398176,175.490137112,70.8125282268
0.396365,0.603635,0.0765193592508,176.192335936,70.8125282268
0.39783,0.60217,0.0768256319812,176.89755496,70.8125282268
0.399295,0.600705,0.0771332269456,177.60581854,70.8125282268
0.40076,0.59924,0.0774421548165,178.31715125,70.8125282268
0.402225,0.597775,0.0777524263617,179.031577885,70.8125282268
0.40369,0.59631,0.0780640524458,179.74912346,70.8125282268
0.405155,0.594845,0.0783770440316,180.46981322,70.8125282268
0.40662,0.59338,0.078691412181,181.193672635,70.8125282268
0.408085,0.591915,0.0790071680567,181.920727407,70.8125282268
0.40955,0.59045,0.0793243229234,182.651003475,70.8125282268
0.411015,0.588985,0.0796428881494,183.384527016,70.8125282268
0.41248,0.58752,0.0799628752077,184.121324446,70.8125282268
0.413945,0.586055,0.0802842956777,184.861422429,70.8125282268
0.41541,0.58459,0.0806071612463,185.604847874,70.8125282268
0.416875,0.583125,0.0809314837098,186.351627944,70.8125282268
0.41834,0.58166,0.081257274975,187.101790055,70.8125282268
0.419805,0.580195,0.0815845470608,187.855361881,70.8125282268
0.42127,0.57873,0.0819133120999,188.612371359,70.8125282268
0.422735,0.577265,0.0822435823401,189.372846691,70.8125282268
0.4242,0.5758,0.082575370146,190.136816347,70.8125282268
0.425665,0.574335,0.0829086880007,190.90430907,70.8125282268
0.42713,0.57287,0.083243548507,191.67535388,70.8125282268
0.428595,0.571405,0.0835799643895,192.449980076,70.8125282268
0.43006,0.56994,0.083917948496,193.228217242,70.8125282268
0.431525,0.568475,0.0842575137993,194.010095247,70.8125282268
0.43299,0.56701,0.0845986733987,194.795644255,70.8125282268
0.434455,0.565545,0.084941440522,195.584894723,70.8125282268
0.43592,0.56408,0.0852858285271,196.37787741,70.8125282268
0.437385,0.562615,0.0856318509038,197.174623377,70.8125282268
0.43885,0.56115,0.0859795212757,197.975163992,70.8125282268
0.440315,0.559685,0.0863288534019,198.779530939,70.8125282268
0.44178,0.55822,0.0866798611789,199.587756213,70.8125282268
0.443245,0.556755,0.0870325586425,200.399872135,70.8125282268
0.44471,0.55529,0.0873869599698,201.215911348,70.8125282268
0.446175,0.553825,0.0877430794811,202.035906826,70.8125282268
0.44764,0.55236,0.0881009316417,202.859891877,70.8125282268
0.449105,0.550895,0.0884605310644,203.687900147,70.8125282268
0.45057,0.54943,0.0888218925109,204.519965627,70.8125282268
0.452035,0.547965,0.0891850308943,205.356122655,70.8125282268
0.4535,0.5465,0.0895499612811,206.196405924,70.8125282268
0.454965,0.545035,0.0899166988934,207.040850483,70.8125282268
0.45643,0.54357,0.0902852591108,207.889491746,70.8125282268
0.457895,0.542105,0.0906556574731,208.742365493,70.8125282268
0.45936,0.54064,0.0910279096819,209.59950788,70.8125282268
0.460825,0.539175,0.0914020316035,210.460955439,70.8125282268
0.46229,0.53771,0.0917780392707,211.326745089,70.8125282268
0.463755,0.536245,0.0921559488857,212.196914135,70.8125282268
0.46522,0.53478,0.0925357768219,213.071500279,70.8125282268
0.466685,0.533315,0.0929175396265,213.950541622,70.8125282268
