Q_mAh_cm2,voltage_V,S_direct_avg,eps_s_feedback_avg,eps_s_tcd_native_raw_avg,eps_s_ode_avg,N_i2_ode_avg,R_precip_fraction_per_s_avg,R_diss_fraction_per_s_avg,i0_i2s_phase_A_m2_avg,j_bare_geom_A_m2,j_i2s_geom_A_m2,j_positive_geom_A_m2,cI2_total_avg_mol_m3,cI2_tank_mol_m3
8.22222222222,1.40230844695,0.238055105749,5.00613539005e-18,-2.40918396344e-14,1.32728267111e-11,1,1.82799222794e-14,1.04553045124e-23,0,649.068025457,0,649.068025457,24.163606224,23.6786535981
8.33333333333,1.40239666922,0.23878226426,5.00613539005e-18,-2.40918396344e-14,1.34680228977e-11,1,1.82973568911e-14,1.04453205256e-23,0,700.16829694,0,700.16829694,24.4813333321,23.9964283357
8.44444444444,1.40248489148,0.239510247974,5.00613539005e-18,-2.40918396344e-14,1.36632190844e-11,1,1.83148446132e-14,1.04353252068e-23,0,751.174863659,0,751.174863659,24.7990604402,24.3142030733
8.55555555556,1.40257311375,0.240239058295,5.00613539005e-18,-2.40918396344e-14,1.38584152711e-11,1,1.83323856887e-14,1.04253185366e-23,0,802.074256204,0,802.074256204,25.1167875483,24.6319778109
8.66666666667,1.40266133602,0.240968696633,5.00613539005e-18,-2.40918396344e-14,1.40536114577e-11,1,1.83499803622e-14,1.04153004958e-23,0,852.868339866,0,852.868339866,25.4345146564,24.9497525485
8.77777777778,1.40274955829,0.241699164399,5.00613539005e-18,-2.40918396344e-14,1.42488076444e-11,1,1.83676288795e-14,1.04052710651e-23,0,903.443409035,0,903.443409035,25.7522417645,25.2675272861
8.88888888889,1.40283778055,0.24243046301,5.00613539005e-18,-2.40918396344e-14,1.44440038311e-11,1,1.83853314882e-14,1.0395230225e-23,0,953.773846958,0,953.773846958,26.0699688726,25.5853020237
9,1.40292600282,0.243162593882,5.00613539005e-18,-2.40918396344e-14,1.46392000177e-11,1,1.84030884373e-14,1.03851779561e-23,0,1003.96334636,0,1003.96334636,26.3876959807,25.9030767613
9.11111111111,1.40301422509,0.243895558438,5.00613539005e-18,-2.40918396344e-14,1.48343962044e-11,1,1.84208999773e-14,1.0375114239e-23,0,1054.04014614,0,1054.04014614,26.7054230888,26.2208514989
9.22222222222,1.40310244736,0.244629358104,5.00613539005e-18,-2.40918396344e-14,1.50295923911e-11,1,1.84387663605e-14,1.03650390542e-23,0,1103.96005846,0,1103.96005846,27.023150197,26.5386262365
9.33333333333,1.40319066962,0.245363994306,5.00613539005e-18,-2.40918396344e-14,1.52247885778e-11,1,1.84566878402e-14,1.03549523819e-23,0,1153.66105174,0,1153.66105174,27.3408773051,26.8564009741
9.44444444444,1.40327889189,0.246099468476,5.00613539005e-18,-2.40918396344e-14,1.54199847644e-11,1,1.84746646719e-14,1.03448542028e-23,0,1203.04285409,0,1203.04285409,27.6586044132,27.1741757117
9.55555555556,1.40336711416,0.246835782049,5.00613539005e-18,-2.40918396344e-14,1.56151809511e-11,1,1.84926971123e-14,1.03347444971e-23,0,1251.7664711,0,1251.7664711,27.9763315213,27.4919504493
