law,eps_s,K_hydraulic_rel_linear_interpolation,interpolation_scope
small_throat,0.000509716265457167,0.998705868201248,between the registered zero and first nonzero network nodes
small_throat,0.000536543437323333,0.998637756001313,between the registered zero and first nonzero network nodes
small_throat,0.0005633706091895,0.998569643801379,between the registered zero and first nonzero network nodes
small_throat,0.000590197781055667,0.998501531601444,between the registered zero and first nonzero network nodes
small_throat,0.000617024952921833,0.99843341940151,between the registered zero and first nonzero network nodes
small_throat,0.000643852124788,0.998365307201576,between the registered zero and first nonzero network nodes
small_throat,0.000670679296654167,0.998297195001641,between the registered zero and first nonzero network nodes
small_throat,0.000697506468520333,0.998229082801707,between the registered zero and first nonzero network nodes
small_throat,0.0007243336403865,0.998160970601773,between the registered zero and first nonzero network nodes
small_throat,0.000751160812252667,0.998092858401838,between the registered zero and first nonzero network nodes
small_throat,0.000777987984118833,0.998024746201904,between the registered zero and first nonzero network nodes
small_throat,0.000804815155985,0.99795663400197,between the registered zero and first nonzero network nodes
small_throat,0.000831642327851167,0.997888521802035,between the registered zero and first nonzero network nodes
small_throat,0.000858469499717333,0.997820409602101,between the registered zero and first nonzero network nodes
small_throat,0.0008852966715835,0.997752297402167,between the registered zero and first nonzero network nodes
small_throat,0.000912123843449667,0.997684185202232,between the registered zero and first nonzero network nodes
small_throat,0.000938951015315833,0.997616073002298,between the registered zero and first nonzero network nodes
small_throat,0.000965778187182,0.997547960802364,between the registered zero and first nonzero network nodes
small_throat,0.000992605359048167,0.997479848602429,between the registered zero and first nonzero network nodes
small_throat,0.00101943253091433,0.997411736402495,between the registered zero and first nonzero network nodes
small_throat,0.0010462597027805,0.997343624202561,between the registered zero and first nonzero network nodes
small_throat,0.00107308687464667,0.997275512002626,between the registered zero and first nonzero network nodes
small_throat,0.00109991404651283,0.997207399802692,between the registered zero and first nonzero network nodes
small_throat,0.001126741218379,0.997139287602758,between the registered zero and first nonzero network nodes
small_throat,0.00115356839024517,0.997071175402823,between the registered zero and first nonzero network nodes
small_throat,0.00118039556211133,0.997003063202889,between the registered zero and first nonzero network nodes
small_throat,0.0012072227339775,0.996934951002954,between the registered zero and first nonzero network nodes
small_throat,0.00123404990584367,0.99686683880302,between the registered zero and first nonzero network nodes
small_throat,0.00126087707770983,0.996798726603086,between the registered zero and first nonzero network nodes
small_throat,0.001287704249576,0.996730614403151,between the registered zero and first nonzero network nodes
small_throat,0.00131453142144217,0.996662502203217,between the registered zero and first nonzero network nodes
small_throat,0.00134135859330833,0.996594390003283,between the registered zero and first nonzero network nodes
small_throat,0.0013681857651745,0.996526277803348,between the registered zero and first nonzero network nodes
small_throat,0.00139501293704067,0.996458165603414,between the registered zero and first nonzero network nodes
small_throat,0.00142184010890683,0.99639005340348,between the registered zero and first nonzero network nodes
small_throat,0.001448667280773,0.996321941203545,between the registered zero and first nonzero network nodes
small_throat,0.00147549445263917,0.996253829003611,between the registered zero and first nonzero network nodes
small_throat,0.00150232162450533,0.996185716803677,between the registered zero and first nonzero network nodes
small_throat,0.0015291487963715,0.996117604603742,between the registered zero and first nonzero network nodes
small_throat,0.00155597596823767,0.996049492403808,between the registered zero and first nonzero network nodes
small_throat,0.00158280314010383,0.995981380203874,between the registered zero and first nonzero network nodes
small_throat,0.00160963031197,0.995913268003939,between the registered zero and first nonzero network nodes
small_throat,0.00163645748383617,0.995845155804005,between the registered zero and first nonzero network nodes
small_throat,0.00166328465570233,0.995777043604071,between the registered zero and first nonzero network nodes
small_throat,0.0016901118275685,0.995708931404136,between the registered zero and first nonzero network nodes
small_throat,0.00171693899943467,0.995640819204202,between the registered zero and first nonzero network nodes
small_throat,0.00174376617130083,0.995572707004268,between the registered zero and first nonzero network nodes
small_throat,0.001770593343167,0.995504594804333,between the registered zero and first nonzero network nodes
small_throat,0.00179742051503317,0.995436482604399,between the registered zero and first nonzero network nodes
small_throat,0.00182424768689933,0.995368370404465,between the registered zero and first nonzero network nodes
small_throat,0.0018510748587655,0.99530025820453,between the registered zero and first nonzero network nodes
small_throat,0.00187790203063167,0.995232146004596,between the registered zero and first nonzero network nodes
small_throat,0.00190472920249783,0.995164033804662,between the registered zero and first nonzero network nodes
small_throat,0.001931556374364,0.995095921604727,between the registered zero and first nonzero network nodes
small_throat,0.00195838354623017,0.995027809404793,between the registered zero and first nonzero network nodes
small_throat,0.00198521071809633,0.994959697204859,between the registered zero and first nonzero network nodes
small_throat,0.0020120378899625,0.994891585004924,between the registered zero and first nonzero network nodes
small_throat,0.00203886506182867,0.99482347280499,between the registered zero and first nonzero network nodes
small_throat,0.00206569223369483,0.994755360605056,between the registered zero and first nonzero network nodes
small_throat,0.002092519405561,0.994687248405121,between the registered zero and first nonzero network nodes
small_throat,0.00211934657742717,0.994619136205187,between the registered zero and first nonzero network nodes
small_throat,0.00214617374929333,0.994551024005253,between the registered zero and first nonzero network nodes
small_throat,0.0021730009211595,0.994482911805318,between the registered zero and first nonzero network nodes
small_throat,0.00219982809302567,0.994414799605384,between the registered zero and first nonzero network nodes
small_throat,0.00222665526489183,0.99434668740545,between the registered zero and first nonzero network nodes
small_throat,0.002253482436758,0.994278575205515,between the registered zero and first nonzero network nodes
small_throat,0.00228030960862417,0.994210463005581,between the registered zero and first nonzero network nodes
small_throat,0.00230713678049033,0.994142350805646,between the registered zero and first nonzero network nodes
small_throat,0.0023339639523565,0.994074238605712,between the registered zero and first nonzero network nodes
small_throat,0.00236079112422267,0.994006126405778,between the registered zero and first nonzero network nodes
small_throat,0.00238761829608883,0.993938014205843,between the registered zero and first nonzero network nodes
small_throat,0.002414445467955,0.993869902005909,between the registered zero and first nonzero network nodes
small_throat,0.00244127263982117,0.993801789805975,between the registered zero and first nonzero network nodes
small_throat,0.00246809981168733,0.99373367760604,between the registered zero and first nonzero network nodes
small_throat,0.0024949269835535,0.993665565406106,between the registered zero and first nonzero network nodes
small_throat,0.00252175415541967,0.993597453206172,between the registered zero and first nonzero network nodes
small_throat,0.00254858132728583,0.993529341006237,between the registered zero and first nonzero network nodes
small_throat,0.002575408499152,0.993461228806303,between the registered zero and first nonzero network nodes
small_throat,0.00260223567101817,0.993393116606369,between the registered zero and first nonzero network nodes
small_throat,0.00262906284288433,0.993325004406434,between the registered zero and first nonzero network nodes
small_throat,0.0026558900147505,0.9932568922065,between the registered zero and first nonzero network nodes
small_throat,0.00268271718661667,0.993188780006566,between the registered zero and first nonzero network nodes
small_throat,0.00270954435848283,0.993120667806631,between the registered zero and first nonzero network nodes
small_throat,0.002736371530349,0.993052555606697,between the registered zero and first nonzero network nodes
small_throat,0.00276319870221517,0.992984443406763,between the registered zero and first nonzero network nodes
small_throat,0.00279002587408133,0.992916331206828,between the registered zero and first nonzero network nodes
small_throat,0.0028168530459475,0.992848219006894,between the registered zero and first nonzero network nodes
small_throat,0.00284368021781367,0.99278010680696,between the registered zero and first nonzero network nodes
small_throat,0.00287050738967983,0.992711994607025,between the registered zero and first nonzero network nodes
small_throat,0.002897334561546,0.992643882407091,between the registered zero and first nonzero network nodes
small_throat,0.00292416173341217,0.992575770207156,between the registered zero and first nonzero network nodes
small_throat,0.00295098890527833,0.992507658007222,between the registered zero and first nonzero network nodes
small_throat,0.0029778160771445,0.992439545807288,between the registered zero and first nonzero network nodes
small_throat,0.00300464324901067,0.992371433607353,between the registered zero and first nonzero network nodes
small_throat,0.00303147042087683,0.992303321407419,between the registered zero and first nonzero network nodes
small_throat,0.003058297592743,0.992235209207485,between the registered zero and first nonzero network nodes
