Q,V_baseline_KC,V_network_cpath,dV_mV,K_perm_rel_KC,K_perm_rel_network,eps_s
80.444444,1.4271358,1.4271361,0.00029999999995311555,0.99999807,0.99999981,1.1468099e-07
80.555556,1.4271665,1.4271667,0.00019999999989472883,0.99999795,0.9999998,1.2170106e-07
80.666667,1.4271977,1.4271979,0.00019999999989472883,0.99999782,0.99999979,1.2901822e-07
80.777778,1.4272294,1.4272295,9.999999983634211e-05,0.9999977,0.99999977,1.3662004e-07
80.888889,1.4272615,1.4272617,0.00020000000011677344,0.99999756,0.99999976,1.4449991e-07
81.0,1.4272942,1.4272943,0.00010000000005838672,0.99999743,0.99999974,1.5265409e-07
81.111111,1.4273273,1.4273274,0.00010000000005838672,0.99999728,0.99999973,1.6108242e-07
81.222222,1.427361,1.427361,0.0,0.99999714,0.99999971,1.6978752e-07
81.333333,1.4273955,1.4273955,0.0,0.99999698,0.99999969,1.7900902e-07
81.444444,1.4274315,1.4274315,0.0,0.99999681,0.99999967,1.8917565e-07
81.555556,1.4274683,1.4274683,0.0,0.99999663,0.99999965,1.9979638e-07
81.666667,1.4275058,1.4275057,-0.00010000000005838672,0.99999645,0.99999963,2.1084804e-07
81.777778,1.427544,1.4275439,-9.999999983634211e-05,0.99999625,0.99999961,2.2232695e-07
81.888889,1.4275829,1.4275827,-0.00019999999989472883,0.99999605,0.99999959,2.3423513e-07
82.0,1.4276226,1.4276223,-0.00030000000017516015,0.99999584,0.99999957,2.4657199e-07
82.111111,1.4276629,1.4276626,-0.00030000000017516015,0.99999563,0.99999954,2.5934099e-07
82.222222,1.427704,1.4277037,-0.00030000000017516015,0.9999954,0.99999952,2.7254901e-07
82.333333,1.4277458,1.4277454,-0.00040000000001150227,0.99999517,0.99999949,2.8618837e-07
82.444444,1.4277884,1.4277879,-0.000500000000069889,0.99999494,0.99999946,3.0026119e-07
82.555556,1.427832,1.4278315,-0.000500000000069889,0.9999946,0.99999943,3.2019826e-07
82.666667,1.4278769,1.4278763,-0.0005999999999062311,0.99999412,0.99999939,3.489218e-07
82.777778,1.4279226,1.427922,-0.0006000000001282757,0.99999359,0.99999935,3.8044664e-07
82.888889,1.4279692,1.4279685,-0.0006999999999646178,0.99999301,0.9999993,4.1483511e-07
83.0,1.4280167,1.4280159,-0.0008000000000230045,0.99999238,0.99999925,4.5196139e-07
83.111111,1.428065,1.4280642,-0.0008000000000230045,0.99999171,0.99999919,4.9174252e-07
83.222222,1.4281142,1.4281133,-0.0009000000000813912,0.99999099,0.99999913,5.3417851e-07
83.333333,1.4281643,1.4281633,-0.0009999999999177334,0.99999023,0.99999907,5.7926936e-07
83.444444,1.4282152,1.4282141,-0.00109999999997612,0.99998943,0.999999,6.2701507e-07
83.555556,1.428267,1.4282658,-0.0012000000000345068,0.99998858,0.99999892,6.7741563e-07
83.666667,1.42832,1.4283187,-0.0013000000000928935,0.99998749,0.99999883,7.4184922e-07
83.777778,1.428374,1.4283726,-0.0013999999999292356,0.99998623,0.99999873,8.1662729e-07
83.888889,1.428429,1.4284275,-0.0014999999999876223,0.99998487,0.99999861,8.9719945e-07
84.0,1.4284849,1.4284834,-0.0014999999999876223,0.99998342,0.99999849,9.8356571e-07
84.111111,1.4285418,1.4285402,-0.001600000000046009,0.99998186,0.99999835,1.0757261e-06
84.222222,1.4286002,1.4285985,-0.0016999999998823512,0.99998007,0.9999982,1.1817849e-06
84.333333,1.4286599,1.4286581,-0.001799999999940738,0.99997812,0.99999803,1.2976084e-06
84.444444,1.4287207,1.4287189,-0.001799999999940738,0.99997602,0.99999784,1.4224087e-06
84.555556,1.4287827,1.4287808,-0.0018999999999991246,0.99997376,0.99999764,1.5561858e-06
84.666667,1.4288459,1.428844,-0.0018999999999991246,0.99997135,0.99999743,1.6990627e-06
84.777778,1.4289108,1.4289088,-0.0019999999998354667,0.99996877,0.99999719,1.8523672e-06
84.888889,1.428977,1.4289751,-0.0018999999999991246,0.99996602,0.99999693,2.015174e-06
85.0,1.4290446,1.4290426,-0.0020000000000575113,0.99996312,0.99999666,2.187483e-06
85.111111,1.4291136,1.4291115,-0.0020999999998938534,0.99996005,0.99999637,2.369325e-06
85.222222,1.4291835,1.4291814,-0.0020999999998938534,0.99995681,0.99999606,2.5613765e-06
85.333333,1.4292545,1.4292524,-0.002100000000115898,0.99995341,0.99999573,2.7632168e-06
85.444444,1.4293268,1.4293247,-0.0020999999998938534,0.99994984,0.99999538,2.9748461e-06
85.555556,1.4294002,1.4293981,-0.0020999999998938534,0.99994611,0.99999501,3.1962668e-06
85.666667,1.4294753,1.4294731,-0.00219999999995224,0.9999422,0.99999462,3.4278015e-06
85.777778,1.4295516,1.4295494,-0.00219999999995224,0.99993813,0.99999421,3.6692547e-06
85.888889,1.4296293,1.429627,-0.002300000000010627,0.9999339,0.99999377,3.9206263e-06
86.0,1.4297084,1.429706,-0.0024000000000690136,0.99992949,0.99999332,4.1819162e-06
86.111111,1.4297888,1.4297863,-0.0025000000001274003,0.99992491,0.99999284,4.4533513e-06
86.222222,1.4298706,1.429868,-0.002600000000185787,0.99992017,0.99999234,4.734805e-06
86.333333,1.4299538,1.429951,-0.002800000000080516,0.99991525,0.99999182,5.0262707e-06
86.444444,1.4300383,1.4300353,-0.0030000000001972893,0.99991017,0.99999128,5.3277486e-06
86.555556,1.4301235,1.4301204,-0.0031000000000336314,0.99990492,0.99999071,5.6394155e-06
86.666667,1.4302098,1.4302064,-0.003399999999986747,0.99989949,0.99999012,5.9611835e-06
86.777778,1.4302971,1.4302935,-0.003599999999881476,0.9998939,0.9999895,6.2930408e-06
86.888889,1.4303854,1.4303816,-0.0037999999999982492,0.99988813,0.99998886,6.6349875e-06
87.0,1.4304743,1.4304703,-0.003999999999892978,0.99988219,0.9999882,6.98717e-06
87.111111,1.430564,1.4305598,-0.0042000000000097515,0.99987609,0.99998751,7.3495256e-06
87.222222,1.4306544,1.4306502,-0.0042000000000097515,0.99986981,0.9999868,7.7220381e-06
87.333333,1.4307457,1.4307414,-0.004299999999846094,0.99986335,0.99998606,8.1047077e-06
87.444444,1.4308389,1.4308346,-0.004299999999846094,0.99985673,0.99998529,8.4976989e-06
87.555556,1.4309337,1.4309293,-0.00439999999990448,0.99984993,0.9999845,8.9009533e-06
87.666667,1.4310299,1.4310254,-0.004499999999962867,0.99984296,0.99998369,9.3144453e-06
87.777778,1.4311274,1.4311229,-0.004499999999962867,0.99983582,0.99998285,9.738175e-06
87.888889,1.4312276,1.4312231,-0.004499999999962867,0.9998285,0.99998198,1.0172329e-05
88.0,1.43133,1.4313255,-0.004499999999962867,0.999821,0.99998109,1.0616856e-05
88.111111,1.4314345,1.43143,-0.004499999999962867,0.99981333,0.99998017,1.1071718e-05
88.222222,1.431541,1.4315365,-0.004499999999962867,0.99980549,0.99997922,1.1536914e-05
