m_exp,v_ratio,flow_mL_min,delta_ratio,delta_um,Q_onset,dQ
0.5,2.0512820512820515,102.56410256410258,0.698212002188447,17.455300054711177,88.90694233332444,5.886742861480144
0.5,2.1487179487179486,107.43589743589743,0.682197768062461,17.05494420156153,89.22039821734153,6.200198745497232
0.5,2.246153846153846,112.3076923076923,0.6672371987921948,16.680929969804872,89.51314807941024,6.49294860756595
0.5,2.3435897435897437,117.17948717948718,0.6532195974178713,16.330489935446785,89.78753745884354,6.767337986999252
0.5,2.4410256410256412,122.05128205128206,0.6400498930132076,16.00124732533019,90.04537955891443,7.02518008707014
0.5,2.5384615384615388,126.92307692307693,0.6276459144608478,15.691147861521197,90.28834044354684,7.26814097170255
0.5,2.6358974358974363,131.79487179487182,0.6159362238954734,15.398405597386837,90.51779077138447,7.497591299540176
0.5,2.7333333333333334,136.66666666666666,0.6048583789091339,15.121459472728349,90.73495612374052,7.714756651896224
0.5,2.830769230769231,141.53846153846155,0.5943575267170572,14.858938167926432,90.940883549967,7.920684078122704
0.5,2.9282051282051285,146.4102564102564,0.5843852578540957,14.609631446352392,91.1364435007566,8.116244028912305
0.5,3.025641025641026,151.2820512820513,0.5748986646151399,14.3724666153785,91.32247915922328,8.302279687378984
0.5,3.123076923076923,156.15384615384616,0.5658595623783125,14.146489059457812,91.49974604149864,8.479546569654346
0.5,3.2205128205128206,161.02564102564102,0.5572338415244783,13.930846038111957,91.66898225464753,8.648782782803238
0.5,3.317948717948718,165.8974358974359,0.5489909248327209,13.724773120818025,91.83069680527831,8.810497333434014
0.5,3.4153846153846157,170.76923076923077,0.5411033106466756,13.52758276616689,91.98552807564687,8.965328603802575
0.5,3.512820512820513,175.64102564102566,0.5335461862357516,13.33865465589379,92.1339040169053,9.113704545061012
0.5,3.6102564102564103,180.51282051282053,0.5262970989504278,13.157427473760695,92.27626355098207,9.256064079137772
0.5,3.707692307692308,185.3846153846154,0.5193356752317952,12.983391880794882,92.41299894814124,9.392799476296943
0.5,3.8051282051282054,190.25641025641028,0.5126433794572477,12.816084486431192,92.5444667784536,9.524267306609303
0.5,3.902564102564103,195.12820512820514,0.5062033061154457,12.655082652886144,92.6709907314879,9.650791259643611
0.5,4.0,200.0,0.5,12.5,92.79285660016365,9.772657128319352
0.6,0.2,10.0,2.626527804403767,65.66319511009418,51.722736108237946,-31.297463363606347
0.6,0.29743589743589743,14.871794871794872,2.0699696157965533,51.74924039491383,62.36426262837641,-20.655936843467885
0.6,0.3948717948717949,19.743589743589745,1.7463300681611829,43.658251704029574,68.58346627226177,-14.43673319958252
0.6,0.49230769230769234,24.615384615384617,1.5298823243509774,38.24705810877443,72.7568363162004,-10.263363155643887
0.6,0.5897435897435898,29.48717948717949,1.372783537987306,34.31958844968265,75.7927389300866,-7.227460541757694
0.6,0.6871794871794872,34.35897435897436,1.252442763549329,31.311069088733227,78.12248459203404,-4.897714879810252
0.6,0.7846153846153847,39.23076923076923,1.1566605097604152,28.916512744010383,79.97938162418966,-3.040817847654637
