"case_id","q_mAh_cm2","S_avg","cI2_surf_tot_avg","beta_surf_avg"
"baseline_J40_Q120","17.3333333333","0.300436922432","153.79968905","1154.79267165"
"baseline_J40_Q120","17.4444444444","0.301230031225","154.114806531","1154.11201789"
"baseline_J40_Q120","17.5555555556","0.302024076168","154.429924013","1153.43136413"
"baseline_J40_Q120","17.6666666667","0.302819058923","154.745041495","1152.75071037"
"baseline_J40_Q120","17.7777777778","0.30361498115","155.060158976","1152.07005661"
"baseline_J40_Q120","17.8888888889","0.304411844516","155.375276458","1151.38940285"
"baseline_J40_Q120","18.0","0.305209650692","155.690393939","1150.70874909"
"baseline_J40_Q120","18.1111111111","0.306008401352","156.005511421","1150.02809533"
"baseline_J40_Q120","18.2222222222","0.306808098174","156.320628902","1149.34744157"
"baseline_J40_Q120","18.3333333333","0.30760874284","156.635746384","1148.66678781"
"baseline_J40_Q120","18.4444444444","0.308410337038","156.950863865","1147.98613405"
"baseline_J40_Q120","18.5555555556","0.309212882456","157.265981347","1147.30548029"
"baseline_J40_Q120","18.6666666667","0.31001638079","157.581098829","1146.62482653"
"baseline_J40_Q120","18.7777777778","0.310820833737","157.89621631","1145.94417277"
"baseline_J40_Q120","18.8888888889","0.311626243","158.211333792","1145.26351901"
"baseline_J40_Q120","19.0","0.312432610286","158.526451273","1144.58286525"
"baseline_J40_Q120","19.1111111111","0.313239937304","158.841568755","1143.90221149"
"baseline_J40_Q120","19.2222222222","0.314048225769","159.156686236","1143.22155773"
"baseline_J40_Q120","19.3333333333","0.314857477401","159.471803718","1142.54090397"
"baseline_J40_Q120","19.4444444444","0.31566769392","159.786921199","1141.86025021"
"baseline_J40_Q120","19.5555555556","0.316478877056","160.102038681","1141.17959645"
"baseline_J40_Q120","19.6666666667","0.317291028538","160.417156163","1140.49894269"
"baseline_J40_Q120","19.7777777778","0.318104150101","160.732273644","1139.81828893"
"baseline_J40_Q120","19.8888888889","0.318918243484","161.047391126","1139.13763517"
"baseline_J40_Q120","20.0","0.319733310432","161.362508607","1138.45698141"
"baseline_J40_Q120","20.1111111111","0.320549352692","161.677626089","1137.77632765"
"baseline_J40_Q120","20.2222222222","0.321366372015","161.99274357","1137.09567389"
"baseline_J40_Q120","20.3333333333","0.322184370157","162.307861052","1136.41502013"
"baseline_J40_Q120","20.4444444444","0.323003348878","162.622978533","1135.73436637"
"baseline_J40_Q120","20.5555555556","0.323823309944","162.938096015","1135.05371261"
"baseline_J40_Q120","20.6666666667","0.324644255122","163.253213497","1134.37305885"
"baseline_J40_Q120","20.7777777778","0.325466186185","163.568330978","1133.69240509"
"baseline_J40_Q120","20.8888888889","0.326289104911","163.88344846","1133.01175133"
"baseline_J40_Q120","21.0","0.32711301308","164.198565941","1132.33109757"
"baseline_J40_Q120","21.1111111111","0.327937912479","164.513683423","1131.65044381"
"baseline_J40_Q120","21.2222222222","0.328763804898","164.828800904","1130.96979005"
"baseline_J40_Q120","21.3333333333","0.32959069213","165.143918386","1130.28913629"
"baseline_J40_Q120","21.4444444444","0.330418575975","165.459035867","1129.60848253"
"baseline_J40_Q120","21.5555555556","0.331247458235","165.774153349","1128.92782877"
"baseline_J40_Q120","21.6666666667","0.332077340717","166.089270831","1128.24717501"
"baseline_J40_Q120","21.7777777778","0.332908225234","166.404388312","1127.56652125"
"baseline_J40_Q120","21.8888888889","0.333740113602","166.719505794","1126.88586749"
"baseline_J40_Q120","22.0","0.33457300764","167.034623275","1126.20521373"
"baseline_J40_Q120","22.1111111111","0.335406909174","167.349740757","1125.52455997"
"baseline_J40_Q120","22.2222222222","0.336241820034","167.664858238","1124.84390621"
"baseline_J40_Q120","22.3333333333","0.337077742051","167.97997572","1124.16325245"
"baseline_J40_Q120","22.4444444444","0.337914677066","168.295093201","1123.48259868"
"baseline_J40_Q120","22.5555555556","0.33875262692","168.610210683","1122.80194492"
"baseline_J40_Q120","22.6666666667","0.339591593461","168.925328165","1122.12129116"
"baseline_J40_Q120","22.7777777778","0.340431578539","169.240445646","1121.4406374"
"baseline_J40_Q120","22.8888888889","0.341272584012","169.555563128","1120.75998364"
"baseline_J40_Q120","23.0","0.34211461174","169.870680609","1120.07932988"
"baseline_J40_Q120","23.1111111111","0.342957663587","170.185798091","1119.39867612"
"baseline_J40_Q120","23.2222222222","0.343801741424","170.500915572","1118.71802236"
"baseline_J40_Q120","23.3333333333","0.344646847124","170.816033054","1118.0373686"
"baseline_J40_Q120","23.4444444444","0.345492982567","171.131150535","1117.35671484"
"baseline_J40_Q120","23.5555555556","0.346340149635","171.446268017","1116.67606108"
"baseline_J40_Q120","23.6666666667","0.347188350218","171.761385499","1115.99540732"
"baseline_J40_Q120","23.7777777778","0.348037586206","172.07650298","1115.31475356"
"baseline_J40_Q120","23.8888888889","0.348887859498","172.391620462","1114.6340998"
"baseline_J40_Q120","24.0","0.349739171995","172.706737943","1113.95344604"
"baseline_J40_Q120","24.1111111111","0.350591525604","173.021855425","1113.27279228"
"baseline_J40_Q120","24.2222222222","0.351444922235","173.336972906","1112.59213852"
"baseline_J40_Q120","24.3333333333","0.352299363806","173.652090388","1111.91148476"
"baseline_J40_Q120","24.4444444444","0.353154852235","173.967207869","1111.230831"
"baseline_J40_Q120","24.5555555556","0.354011389449","174.282325351","1110.55017724"
"baseline_J40_Q120","24.6666666667","0.354868977377","174.597442833","1109.86952348"
"baseline_J40_Q120","24.7777777778","0.355727617954","174.912560314","1109.18886972"
"baseline_J40_Q120","24.8888888889","0.356587313119","175.227677796","1108.50821596"
"baseline_J40_Q120","25.0","0.357448064817","175.542795277","1107.8275622"
"baseline_J40_Q120","25.1111111111","0.358309874997","175.857912759","1107.14690844"
"baseline_J40_Q120","25.2222222222","0.359172745611","176.17303024","1106.46625468"
"baseline_J40_Q120","25.3333333333","0.36003667862","176.488147722","1105.78560092"
"baseline_J40_Q120","25.4444444444","0.360901675986","176.803265203","1105.10494716"
"baseline_J40_Q120","25.5555555556","0.361767739678","177.118382685","1104.4242934"
"baseline_J40_Q120","25.6666666667","0.362634871669","177.433500167","1103.74363964"
"baseline_J40_Q120","25.7777777778","0.363503073936","177.748617648","1103.06298588"
"baseline_J40_Q120","25.8888888889","0.364372348463","178.06373513","1102.38233212"
"baseline_J40_Q120","26.0","0.365242697237","178.378852611","1101.70167836"
"baseline_J40_Q120","26.1111111111","0.366114122251","178.693970093","1101.0210246"
"baseline_J40_Q120","26.2222222222","0.366986625503","179.009087574","1100.34037084"
"baseline_J40_Q120","26.3333333333","0.367860208995","179.324205056","1099.65971708"
"baseline_J40_Q120","26.4444444444","0.368734874735","179.639322537","1098.97906332"
"baseline_J40_Q120","26.5555555556","0.369610624735","179.954440019","1098.29840956"
"baseline_J40_Q120","26.6666666667","0.370487461013","180.269557501","1097.6177558"
"baseline_J40_Q120","26.7777777778","0.371365385592","180.584674982","1096.93710204"
"baseline_J40_Q120","26.8888888889","0.372244400498","180.899792464","1096.25644828"
"baseline_J40_Q120","27.0","0.373124507764","181.214909945","1095.57579452"
"baseline_J40_Q120","27.1111111111","0.374005709429","181.530027427","1094.89514076"
"baseline_J40_Q120","27.2222222222","0.374888007534","181.845144908","1094.214487"
"baseline_J40_Q120","27.3333333333","0.375771404128","182.16026239","1093.53383324"
"baseline_J40_Q120","27.4444444444","0.376650451101","182.473442609","1092.85736396"
"baseline_J40_Q120","27.5555555556","0.377528681406","182.785946283","1092.18235603"
"baseline_J40_Q120","27.6666666667","0.378407998039","183.098449956","1091.50734809"
