Q_mAh_cm2,V_baseline_KC_V,V_network_smooth_path_V,DeltaV_network_minus_KC_mV,K_over_K0_baseline_KC,K_over_K0_network_smooth_path,eps_s_baseline_KC,eps_s_network_smooth_path,evidence_class
12.222222,1.4054844,1.4054848,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.333333,1.4055727,1.405573,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.444444,1.4056609,1.4056612,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.555556,1.4057491,1.4057495,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.666667,1.4058373,1.4058377,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.777778,1.4059256,1.4059259,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.888889,1.4060138,1.4060141,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13,1.406102,1.4061023,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.111111,1.4061902,1.4061905,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.222222,1.4062784,1.4062788,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.333333,1.4063667,1.406367,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.444444,1.4064549,1.4064552,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.555556,1.4065431,1.4065434,0.000300000000175,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.666667,1.4066313,1.4066316,0.000300000000175,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.777778,1.4067196,1.4067198,0.000200000000117,1,1,5.0272873e-18,8.5675933e-18,E-SIM
13.888889,1.4068078,1.406808,0.000200000000117,1,1,5.0272873e-18,8.5675933e-18,E-SIM
14,1.406896,1.4068963,0.000300000000175,1,1,5.0272873e-18,8.5675933e-18,E-SIM
14.111111,1.4069842,1.4069845,0.000300000000175,1,1,5.0272873e-18,8.5675933e-18,E-SIM
14.222222,1.4070724,1.4070727,0.000300000000175,1,1,5.0272873e-18,8.5675933e-18,E-SIM
14.333333,1.4071607,1.4071609,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
14.444444,1.4072489,1.4072491,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
14.555556,1.4073371,1.4073373,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
14.666667,1.4074253,1.4074256,0.000299999999953,1,1,5.0272873e-18,8.5887452e-18,E-SIM
14.777778,1.4075136,1.4075138,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
14.888889,1.4076018,1.407602,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15,1.40769,1.4076902,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.111111,1.4077782,1.4077784,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.222222,1.4078664,1.4078666,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.333333,1.4079547,1.4079549,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.444444,1.4080215,1.4080217,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.555556,1.4080809,1.408081,9.99999998363e-05,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.666667,1.4081402,1.4081404,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.777778,1.4081996,1.4081998,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
15.888889,1.408259,1.4082591,0.000100000000058,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16,1.4083183,1.4083185,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.111111,1.4083777,1.4083779,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.222222,1.4084371,1.4084372,0.000100000000058,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.333333,1.4084964,1.4084966,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.444444,1.4085558,1.4085559,0.000100000000058,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.555556,1.4086151,1.4086153,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.666667,1.4086745,1.4086747,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.777778,1.4087339,1.408734,9.99999998363e-05,1,1,5.0272873e-18,8.5887452e-18,E-SIM
16.888889,1.4087932,1.4087934,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17,1.4088526,1.4088528,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.111111,1.408912,1.4089121,0.000100000000058,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.222222,1.4089713,1.4089715,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.333333,1.4090307,1.4090309,0.000200000000117,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.444444,1.4090901,1.4090902,0.000100000000058,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.555556,1.4091494,1.4091496,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.666667,1.4092088,1.4092089,0.000100000000058,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.777778,1.4092681,1.4092683,0.000199999999895,1,1,5.0272873e-18,8.5887452e-18,E-SIM
17.888889,1.4093275,1.4093277,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18,1.4093869,1.409387,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.111111,1.4094462,1.4094464,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.222222,1.4095056,1.4095058,0.000200000000117,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.333333,1.409565,1.4095651,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.444444,1.4096243,1.4096245,0.000200000000117,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.555556,1.4096837,1.4096838,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.666667,1.4097431,1.4097432,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.777778,1.4098024,1.4098026,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
18.888889,1.4098618,1.4098619,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19,1.4099211,1.4099213,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.111111,1.4099805,1.4099807,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.222222,1.4100399,1.41004,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.333333,1.4100992,1.4100994,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.444444,1.4101586,1.4101587,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.555556,1.410218,1.4102181,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.666667,1.4102773,1.4102775,0.000200000000117,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.777778,1.4103367,1.4103368,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
19.888889,1.4103961,1.4103962,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20,1.4104554,1.4104556,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.111111,1.4105148,1.4105149,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.222222,1.4105741,1.4105743,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.333333,1.4106335,1.4106336,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.444444,1.4106929,1.410693,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.555556,1.4107522,1.4107524,0.000200000000117,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.666667,1.4108116,1.4108117,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.777778,1.410871,1.4108711,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
20.888889,1.4109303,1.4109305,0.000200000000117,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21,1.4109897,1.4109898,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.111111,1.4110491,1.4110492,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.222222,1.4111084,1.4111085,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.333333,1.4111678,1.4111679,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.444444,1.4112271,1.4112273,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.555556,1.4112865,1.4112866,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.666667,1.4113459,1.411346,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.777778,1.4114052,1.4114054,0.000200000000117,1,1,5.0405073e-18,8.5887452e-18,E-SIM
21.888889,1.4114646,1.4114647,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22,1.411524,1.4115241,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.111111,1.4115833,1.4115834,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.222222,1.4116427,1.4116428,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.333333,1.4117021,1.4117022,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.444444,1.4117614,1.4117615,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.555556,1.4118208,1.4118209,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.666667,1.4118801,1.4118803,0.000199999999895,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.777778,1.4119395,1.4119396,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
22.888889,1.4119989,1.411999,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23,1.4120582,1.4120583,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.111111,1.4121176,1.4121177,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.222222,1.412177,1.4121771,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.333333,1.4122363,1.4122364,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.444444,1.4122957,1.4122958,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.555556,1.4123551,1.4123552,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.666667,1.4124144,1.4124145,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
