q_mAh_cm2,time_s,V_control_V,V_physical_dense_V,deltaV_physical_minus_control_V,eps_s_control,eps_s_physical_dense,theta_control,theta_physical_dense,theta_dense_shadow_on_control,S_control,S_physical_dense,K_control,K_physical_dense
98.2222222222,8840,1.4507878113,1.43272939569,-0.01805841561,0.000101015395652,9.95603984382e-05,0.442740910059,0.107556394039,0.109162676067,1.27357669677,1.27352774216,0.99829870708,0.998323122664
98.3333333333,8850,1.45109169497,1.43276288304,-0.01832881193,0.00010255422232,0.000101056105517,0.447884544923,0.108508007267,0.110135386768,1.27580754976,1.2757505616,0.998272821327,0.998297959001
98.4444444444,8860,1.45139896297,1.43279675804,-0.01860220493,0.000104106358596,0.000102563975868,0.453026564191,0.109460940556,0.111109873809,1.27804179422,1.27798358615,0.998246712654,0.998272591555
98.5555555556,8870,1.45170955452,1.43283088241,-0.01887867211,0.000105671854347,0.000104084027996,0.458166195344,0.110415178204,0.112086132253,1.28027827933,1.28022694578,0.998220380249,0.998247020036
98.6666666667,8880,1.45202393218,1.43286449612,-0.01915943606,0.000107250769593,0.000105616310009,0.463302581711,0.111370725306,0.113064163284,1.28251679734,1.28247388294,0.998193823131,0.998221243653
98.7777777778,8890,1.45234162223,1.43289787686,-0.01944374537,0.000108843159791,0.000107160822766,0.468435261529,0.112327558141,0.114043964988,1.28476157187,1.28472424251,0.998167040392,0.998195262413
98.8888888889,8900,1.45266266752,1.43293107904,-0.01973158848,0.000110449079548,0.000108717583302,0.473563672694,0.113285663266,0.115025534706,1.28701341445,1.28697619299,0.998140031143,0.99816907605
99,8910,1.45298741673,1.43296427331,-0.02002314342,0.000112068600427,0.000110286593239,0.478687319988,0.114245022335,0.116008879845,1.28927118173,1.28922717264,0.998112794207,0.998142684555
99.1111111111,8920,1.4533157361,1.43299755957,-0.02031817653,0.000113701782771,0.000111867863663,0.483805330618,0.115205615306,0.116994000599,1.29152937573,1.29147951677,0.9980853286,0.998116087765
99.2222222222,8930,1.453647807,1.43303133065,-0.02061647635,0.000115348663778,0.000113461432395,0.488916868733,0.116167438424,0.117980883065,1.2937896673,1.29373879265,0.998057633725,0.998089285066
99.3333333333,8940,1.45398369788,1.43306552282,-0.02091817506,0.000117009299757,0.000115067370317,0.494021201033,0.117130500216,0.118969524776,1.29605333383,1.29601026231,0.998029708664,0.998062275292
99.4444444444,8950,1.45432318157,1.43310008455,-0.02122309702,0.000118683761629,0.000116685713274,0.499117803243,0.118094793521,0.119959931675,1.29832329593,1.29829583165,0.998001552256,0.998035057862
99.5555555556,8960,1.45466643534,1.43313368743,-0.02153274791,0.000120372124602,0.000118316430012,0.504206151747,0.119060287794,0.120952111802,1.3005982564,1.30056935098,0.997973163265,0.998007633321
99.6666666667,8970,1.45501367693,1.43316752629,-0.02184615064,0.000122074432528,0.000119967622775,0.509285468789,0.120031717844,0.121946054476,1.30287677407,1.3028466656,0.997944540987,0.997979865436
99.7777777778,8980,1.45536515019,1.4332021762,-0.02216297399,0.000123790750838,0.000121631369464,0.514355020951,0.121004335372,0.122941761505,1.3051572032,1.30513673952,0.997915684354,0.99795188747
99.8888888889,8990,1.45572049267,1.43323631138,-0.02248418129,0.00012552115468,0.00012331221475,0.519414222871,0.121980762994,0.12393923997,1.30744207615,1.30742599164,0.997886592133,0.997923623019
100,9000,1.45607974794,1.43327035106,-0.02280939688,0.000127265713119,0.000125000729237,0.524462593382,0.122955482513,0.124938493041,1.30973330209,1.30971891506,0.997857263196,0.997895230675
100.111111111,9010,1.45644294384,1.43330438723,-0.02313855661,0.000129024487932,0.000126705020745,0.529499533613,0.123933176093,0.125939519413,1.31203029775,1.31201694487,0.997827696538,0.99786657412
100.222222222,9020,1.45681015349,1.43333850085,-0.02347165264,0.00013079755015,0.000128421554671,0.534524408367,0.124911769753,0.126942322768,1.31432982894,1.31431838837,0.997797890999,0.997837712818
100.333333333,9030,1.45718129065,1.43337266583,-0.02380862482,0.00013258497565,0.000130146206257,0.539536508082,0.125888906745,0.127946909152,1.31663147013,1.31662361812,0.997767845336,0.997808716142
100.444444444,9040,1.45755704008,1.43340698673,-0.02415005335,0.000134386830349,0.000131890833172,0.54453520704,0.126871288889,0.128953278658,1.31893787824,1.31892937475,0.997737558479,0.997779384747
100.555555556,9050,1.45793771787,1.43344137116,-0.02449634671,0.000136203198046,0.000133643185206,0.54951993795,0.127851960246,0.129961441008,1.32125044101,1.32123814392,0.997707029057,0.997749924627
100.666666667,9060,1.458322409,1.43347586377,-0.02484654523,0.000138034154278,0.000135408659057,0.554490211955,0.128833951121,0.130971400884,1.32356681671,1.32354889565,0.997676255835,0.997720245069
100.777777778,9070,1.45871168858,1.43351040913,-0.02520127945,0.00013987978367,0.000137189220643,0.559445318036,0.129818320495,0.13198316756,1.32588602089,1.32586485116,0.997645237428,0.99769031305
100.888888889,9080,1.45910532005,1.4335449843,-0.02556033575,0.000141740138088,0.000138977545708,0.564384624344,0.130800996783,0.13299673203,1.32820858506,1.32818579096,0.997613973002,0.997660251724
101,9090,1.45950298371,1.433579644,-0.02592333971,0.000143615294734,0.000140784108007,0.569307587084,0.131787725743,0.134012098927,1.33053559141,1.33051267313,0.997582461294,0.997629885047
101.111111111,9100,1.45990512354,1.43361438503,-0.02629073851,0.000145505361421,0.000142600869921,0.574213827504,0.13277406494,0.135029288935,1.33286894853,1.3328478618,0.997550700534,0.997599348161
101.222222222,9110,1.46031212537,1.43364920996,-0.02666291541,0.000147410420306,0.000144428153158,0.579102782827,0.133760191078,0.136048308297,1.33520732667,1.33519153608,0.997518689384,0.997568635678
101.333333333,9120,1.46072406974,1.4336840726,-0.02703999714,0.000149330547997,0.000146273549325,0.583973872516,0.134750172253,0.137069159903,1.33754970957,1.33754188506,0.997486426597,0.997537620027
