sign,ix,iy,iz,delta_rho_e_A-3,x_display_A,y_display_A,z_display_A,periodic_xy_translation_only
accumulation,9,64,56,0.00256688706577,16.970633812,17.04,14.9333333333,True
accumulation,9,64,57,0.00354506960139,16.970633812,17.04,15.2,True
accumulation,9,64,58,0.004165914841,16.970633812,17.04,15.4666666667,True
accumulation,9,64,59,0.00398674653843,16.970633812,17.04,15.7333333333,True
accumulation,9,64,60,0.00309996027499,16.970633812,17.04,16,True
accumulation,9,64,61,0.00204191706143,16.970633812,17.04,16.2666666667,True
accumulation,9,65,57,0.00240177358501,16.970633812,17.30625,15.2,True
accumulation,9,65,58,0.00273809814826,16.970633812,17.30625,15.4666666667,True
accumulation,9,65,59,0.00262942397967,16.970633812,17.30625,15.7333333333,True
accumulation,9,65,60,0.00212295702659,16.970633812,17.30625,16,True
accumulation,10,61,57,0.00256721512415,17.2165850267,16.24125,15.2,True
accumulation,10,61,58,0.0029557258822,17.2165850267,16.24125,15.4666666667,True
accumulation,10,61,59,0.00279226456769,17.2165850267,16.24125,15.7333333333,True
accumulation,10,61,60,0.00215895217843,17.2165850267,16.24125,16,True
accumulation,10,62,56,0.00238326797262,17.2165850267,16.5075,14.9333333333,True
accumulation,10,62,57,0.00328786950558,17.2165850267,16.5075,15.2,True
accumulation,10,62,58,0.00385203002952,17.2165850267,16.5075,15.4666666667,True
accumulation,10,62,59,0.00367629132234,17.2165850267,16.5075,15.7333333333,True
accumulation,10,62,60,0.00285395490937,17.2165850267,16.5075,16,True
accumulation,10,63,56,0.00239538191818,17.2165850267,16.77375,14.9333333333,True
accumulation,10,63,57,0.00327465357259,17.2165850267,16.77375,15.2,True
accumulation,10,63,58,0.0038201934658,17.2165850267,16.77375,15.4666666667,True
accumulation,10,63,59,0.00366431265138,17.2165850267,16.77375,15.7333333333,True
accumulation,10,63,60,0.0028889561072,17.2165850267,16.77375,16,True
accumulation,10,64,57,0.00263972021639,17.2165850267,17.04,15.2,True
accumulation,10,64,58,0.00302713550627,17.2165850267,17.04,15.4666666667,True
accumulation,10,64,59,0.00291428458877,17.2165850267,17.04,15.7333333333,True
accumulation,10,64,60,0.00235095550306,17.2165850267,17.04,16,True
accumulation,10,65,58,0.00203783041798,17.2165850267,17.30625,15.4666666667,True
accumulation,11,61,58,0.00213990360498,17.4625362413,16.24125,15.4666666667,True
accumulation,11,61,59,0.00204505585134,17.4625362413,16.24125,15.7333333333,True
accumulation,11,62,57,0.00219949102029,17.4625362413,16.5075,15.2,True
accumulation,11,62,58,0.00250649196096,17.4625362413,16.5075,15.4666666667,True
accumulation,11,62,59,0.00240830495022,17.4625362413,16.5075,15.7333333333,True
accumulation,11,63,57,0.00211442657746,17.4625362413,16.77375,15.2,True
accumulation,11,63,58,0.00240136077628,17.4625362413,16.77375,15.4666666667,True
accumulation,11,63,59,0.00231591355987,17.4625362413,16.77375,15.7333333333,True
accumulation,31,40,59,0.00211099325679,7.62448765467,10.65,15.7333333333,True
accumulation,31,50,49,0.00236464804038,7.62448765467,13.3125,13.0666666667,True
accumulation,31,50,52,0.00266117788851,7.62448765467,13.3125,13.8666666667,True
accumulation,32,38,58,0.0022291324567,7.87043886933,10.1175,15.4666666667,True
accumulation,32,38,59,0.00242675584741,7.87043886933,10.1175,15.7333333333,True
accumulation,32,38,60,0.00223572994582,7.87043886933,10.1175,16,True
accumulation,32,39,57,0.00226489733905,7.87043886933,10.38375,15.2,True
accumulation,32,39,58,0.00292216171511,7.87043886933,10.38375,15.4666666667,True
accumulation,32,39,59,0.00320544838905,7.87043886933,10.38375,15.7333333333,True
accumulation,32,39,60,0.00292341061868,7.87043886933,10.38375,16,True
accumulation,32,39,61,0.00223108474165,7.87043886933,10.38375,16.2666666667,True
accumulation,32,40,57,0.00247419858351,7.87043886933,10.65,15.2,True
accumulation,32,40,58,0.0032101275865,7.87043886933,10.65,15.4666666667,True
